logFC	AveExpr	t	P.Value	adj.P.Val	B
233871	7.26168962755091	7.42096470833273	134.992040095086	1.87270184228625e-14	1.30702794104724e-12	23.3198398227032
208643	8.64619119283345	9.16121628806872	137.459304673764	1.62543826862379e-14	1.30702794104724e-12	23.3158346042957
14797	7.21266539031376	7.50458163059651	134.807900461688	1.89279413474395e-14	1.30702794104724e-12	23.3155234659014
100503394	8.01604535311215	7.98917666041806	136.088655690638	1.75791263321589e-14	1.30702794104724e-12	23.3121868378348
12336	8.20954037797637	7.66751072881602	136.314367400834	1.73528348113952e-14	1.30702794104724e-12	23.3069471080816
21881	7.9825068419956	9.24489140791962	135.882260582462	1.77889682191651e-14	1.30702794104724e-12	23.3065609250952
19242	9.98392014211292	4.64605608586291	141.341715436696	1.30736762771809e-14	1.30702794104724e-12	23.3034662543334
19291	7.50059114816199	7.45437431750263	134.663613439879	1.90870788953795e-14	1.30702794104724e-12	23.2915699440211
19116	9.88611886459081	8.16142408693369	140.602476109397	1.36208231426497e-14	1.30702794104724e-12	23.2915120796847
22134	8.04941725386823	8.40705482238741	135.515266856972	1.81691061116892e-14	1.30702794104724e-12	23.2876131590376
17716	11.2361217417552	11.6798725397208	146.830280063789	9.70594038339432e-15	1.30702794104724e-12	23.2871055154904
100503642	7.01164023923684	6.83737947329248	133.819576842173	2.00487736616823e-14	1.30702794104724e-12	23.2865149644972
51792	7.25005243313033	7.19908799205433	134.122443825045	1.96975365469336e-14	1.30702794104724e-12	23.2857586400099
229663	7.68779850472531	7.80673300532741	134.809208470543	1.89265055742242e-14	1.30702794104724e-12	23.2849037091353
13209	7.83464898959732	7.79818446208867	135.004448111958	1.87135662313891e-14	1.30702794104724e-12	23.2826142116739
12461	7.46499410157449	7.40855522863387	134.333644882882	1.94567120903612e-14	1.30702794104724e-12	23.2807424142968
26943	10.3646004081648	10.1966540674577	142.228698605857	1.24496142121772e-14	1.30702794104724e-12	23.2794862122801
20924	7.62952036895334	7.83804700427646	134.513253186506	1.92545222828191e-14	1.30702794104724e-12	23.2770684865347
13211	7.92322050318679	7.84151781034869	134.944923698988	1.87781992421423e-14	1.30702794104724e-12	23.2741798725023
14376	7.41247612786362	7.66652591507323	134.05411604964	1.97761664369072e-14	1.30702794104724e-12	23.2728989928517
